line,input_title,input_year,cleaned_query,action,output_title,output_year,tmdb_id,imdb_id,notes
1,10 Cloverfield Lane,2016,10 Cloverfield Lane,resolved,10 Cloverfield Lane,2016,333371,tt1179933,
2,10 to Midnight,1983,10 to Midnight,resolved,10 to Midnight,1983,18587,tt0085121,
3,11 no Zokugun,2024,11 no Zokugun,resolved,11 Rebels,2024,1310682,tt33367745,
4,11 Rebels,2024,11 Rebels,merged,11 Rebels,2024,1310682,tt33367745,
5,12 Angry Men,1957,12 Angry Men,resolved,12 Angry Men,1957,389,tt0050083,
6,13 Hours: The Secret Soldiers of Benghazi,2016,13 Hours: The Secret Soldiers of Benghazi,resolved,13 Hours: The Secret Soldiers of Benghazi,2016,300671,tt4172430,
7,1408,2007,1408,resolved,1408,2007,3021,tt0450385,
8,1917,2019,1917,resolved,1917,2019,530915,tt8579674,
9,2.Guns,2013,2.Guns,resolved,2 Guns,2013,136400,tt1272878,
10,2001: A Space Odyssey,1968,: A Space Odyssey,resolved,NASA: A Space Odyssey Vol. 3,2001,516753,,used embedded title year
11,2011,2019,2011,resolved,2011,2020,730339,tt12942974,
12,2012.,2009,2012.,resolved,2012,2009,14161,tt1190080,
13,28.Years Later,2025,28.Years Later,resolved,28 Years Later,2025,1100988,tt10548174,
14,28.Years Later The Bone Temple,2026,28.Years Later The Bone Temple,resolved,28 Years Later: The Bone Temple,2026,1272837,tt32141377,
15,300,2006,300,resolved,Home Movies 300-1,2006,719963,,
16,36 Quai des Orfèvres,2004,36 Quai des Orfèvres,resolved,36th Precinct,2004,7291,tt0390808,
17,36th Precinct,2004,36th Precinct,merged,36th Precinct,2004,7291,tt0390808,
18,3:10 to Yuma,1957,3:10 to Yuma,resolved,3:10 to Yuma,1957,14168,tt0050086,
19,437,2019,437,resolved,Incident 437,2021,931985,tt14512864,
20,48 Hours,1982,48 Hours,resolved,48 Hrs.,1982,150,tt0083511,
21,48 Hrs.,1982,48 Hrs.,merged,48 Hrs.,1982,150,tt0083511,
22,4Kult Italy - FEL 12.58 Mb/s Quote: Originally Posted by Angry Virginian La La Land,2016,La La Land,resolved,La La Land,2016,313369,tt3783958,stripped scraped prefix
23,A Beautiful Mind,2001,A Beautiful Mind,resolved,A Beautiful Mind,2001,453,tt0268978,
24,A Better Tomorrow II,1987,A Better Tomorrow II,resolved,A Better Tomorrow II,1987,18305,tt0094357,
25,A Better Tomorrow III: Love and Death in Saigon,1989,A Better Tomorrow III: Love and Death in Saigon,resolved,A Better Tomorrow III: Love and Death in Saigon,1989,41244,tt0098691,
26,A Bronx Tale,1993,A Bronx Tale,resolved,A Bronx Tale,1993,1607,tt0106489,
27,A Bugs Life,1998,A Bugs Life,resolved,A Bug's Life,1998,9487,tt0120623,
28,A Christmas Story,1983,A Christmas Story,resolved,A Christmas Story,1983,850,tt0085334,
29,A Complete Unknown,2024,A Complete Unknown,resolved,A Complete Unknown,2024,661539,tt11563598,
30,A Hard Day's Night,1964,A Hard Day's Night,resolved,A Hard Day's Night,1964,704,tt0058182,
31,A History of Violence,2005,A History of Violence,resolved,A History of Violence,2005,59,tt0399146,
32,A Quiet Place,2018,A Quiet Place,resolved,A Quiet Place,2018,447332,tt6644200,
33,A quiet place day one,2024,A quiet place day one,resolved,A Quiet Place: Day One,2024,762441,tt13433802,
34,A Quiet Place Part II,2020,A Quiet Place Part II,resolved,A Quiet Place Part II,2021,520763,tt8332922,
35,A Quiet Place: Day One,2024,A Quiet Place: Day One,merged,A Quiet Place: Day One,2024,762441,tt13433802,
36,A Shaun the Sheep Movie: Farmageddon,2019,A Shaun the Sheep Movie: Farmageddon,resolved,A Shaun the Sheep Movie: Farmageddon,2019,422803,tt6193408,
37,A Shot in the Dark,1964,A Shot in the Dark,resolved,A Shot in the Dark,1964,1594,tt0058586,
38,A Simple Favor,2018,A Simple Favor,resolved,A Simple Favor,2018,484247,tt7040874,
39,A Working Man,2025,A Working Man,resolved,A Working Man,2025,1197306,tt9150192,
40,A Wrinkle in Time,2018,A Wrinkle in Time,resolved,A Wrinkle in Time,2018,407451,tt1620680,
41,Abbott and Costello Meet Dr Jekyll and Mr Hyde,1953,Abbott and Costello Meet Dr Jekyll and Mr Hyde,resolved,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,1953,3023,tt0045469,
42,Abbott and Costello Meet the Invisible Man,1951,Abbott and Costello Meet the Invisible Man,resolved,Bud Abbott and Lou Costello Meet the Invisible Man,1951,33475,tt0043255,
43,Ace Ventura Pet Detective,1994,Ace Ventura Pet Detective,resolved,Ace Ventura: Pet Detective,1994,3049,tt0109040,
44,Ace Ventura: Pet Detective,1994,Ace Ventura: Pet Detective,merged,Ace Ventura: Pet Detective,1994,3049,tt0109040,
45,Ad Astra,2019,Ad Astra,resolved,Ad Astra,2019,419704,tt2935510,
46,Addams Family Values,1993,Addams Family Values,resolved,Addams Family Values,1993,2758,tt0106220,
47,Addio zio Tom,1971,Addio zio Tom,resolved,Goodbye Uncle Tom,1971,48691,tt0180396,
48,Aeon Flux,2005,Aeon Flux,resolved,Æon Flux,2005,8202,tt0402022,
49,After Hours,1985,After Hours,resolved,After Hours,1985,10843,tt0088680,
50,"Aguirre, der Zorn Gottes",1972,"Aguirre, der Zorn Gottes",resolved,"Aguirre, the Wrath of God",1972,2000,tt0068182,
51,Air America,1990,Air America,resolved,Air America,1990,11856,tt0099005,
52,Airplane,1980,Airplane,resolved,Airplane!,1980,813,tt0080339,
53,Airplane II The Sequel,1982,Airplane II The Sequel,resolved,Airplane II: The Sequel,1982,2665,tt0083530,
54,Airplane II: The Sequel,1982,Airplane II: The Sequel,merged,Airplane II: The Sequel,1982,2665,tt0083530,
55,Airplane!,1980,Airplane!,merged,Airplane!,1980,813,tt0080339,
56,Ajeossi,2010,Ajeossi,resolved,The Man from Nowhere,2010,51608,tt1527788,
57,Alice in Wonderland,1951,Alice in Wonderland,resolved,Alice in Wonderland,1951,12092,tt0043274,
58,Alien: Romulus,2024,Alien: Romulus,resolved,Alien: Romulus,2024,945961,tt18412256,
59,All of Us Strangers,2023,All of Us Strangers,resolved,All of Us Strangers,2023,994108,tt21192142,
60,Allegiant,2016,Allegiant,resolved,Allegiant,2016,262504,tt3410834,
61,Almost Famous,2000,Almost Famous,resolved,Almost Famous,2000,786,tt0181875,
62,Alphaville,1965,Alphaville,resolved,Alphaville,1965,8072,tt0058898,
63,"Alphaville, une étrange aventure de Lemmy Caution",1965,"Alphaville, une étrange aventure de Lemmy Caution",merged,Alphaville,1965,8072,tt0058898,
64,Altered States,1980,Altered States,resolved,Altered States,1980,11542,tt0080360,
65,Ambulance,2022,Ambulance,resolved,Ambulance,2022,763285,tt4998632,
66,American Assassin,2017,American Assassin,resolved,American Assassin,2017,415842,tt1961175,
67,American Psycho,2000,American Psycho,resolved,American Psycho,2000,1359,tt0144084,
68,American underdog,2021,American underdog,resolved,American Underdog,2021,673309,tt11729298,
69,Amores perros,2000,Amores perros,resolved,Amores Perros,2000,55,tt0245712,
70,Amsterdam,2022,Amsterdam,resolved,Amsterdam,2022,664469,tt10304142,
71,An American Werewolf in London,1981,An American Werewolf in London,resolved,An American Werewolf in London,1981,814,tt0082010,
72,An Autumn's Tale,1987,An Autumn's Tale,resolved,An Autumn's Tale,1987,64015,tt0093426,
73,Anaconda,1997,Anaconda,resolved,Anaconda,1997,9360,tt0118615,
74,Anchorman The Legend of Ron Burgundy,2004,Anchorman The Legend of Ron Burgundy,resolved,Anchorman: The Legend of Ron Burgundy,2004,8699,tt0357413,
75,Anchorman: The Legend of Ron Burgundy,2004,Anchorman: The Legend of Ron Burgundy,merged,Anchorman: The Legend of Ron Burgundy,2004,8699,tt0357413,
76,Angel Has Fallen,2019,Angel Has Fallen,resolved,Angel Has Fallen,2019,423204,tt6189022,
77,Angels and Demons,2009,Angels and Demons,resolved,Angels and Demons,2009,1221148,,
78,Angry Birds,2016,Angry Birds,resolved,The Angry Birds Movie,2016,153518,tt1985949,
79,Anna,2019,Anna,resolved,Anna,2019,484641,tt7456310,
80,Annihilation,2018,Annihilation,resolved,Annihilation,2018,300668,tt2798920,
81,Another 48 Hours,1990,Another 48 Hours,resolved,Another 48 Hrs.,1990,11595,tt0099044,
82,Another 48 hrs,1990,Another 48 hrs,merged,Another 48 Hrs.,1990,11595,tt0099044,
83,Ant Man and the Wasp Quantumania,2023,Ant Man and the Wasp Quantumania,resolved,Ant-Man and the Wasp: Quantumania,2023,640146,tt10954600,
84,Ant-Man,2015,Ant-Man,resolved,Ant-Man,2015,102899,tt0478970,
85,Antebellum,2020,Antebellum,resolved,Antebellum,2020,627290,tt10065694,
86,Antoine et Colette,1962,Antoine et Colette,resolved,Antoine and Colette,1962,256,tt1180329,
87,Apocalypse Now,1979,Apocalypse Now,resolved,Apocalypse Now,1979,28,tt0078788,
88,April Fool's Day,1986,April Fool's Day,resolved,April Fool's Day,1986,24913,tt0090655,
89,Arbor Day,1990,Arbor Day,resolved,Arbor Day,1990,1120025,tt19637512,
90,Arco,2025,Arco,resolved,Arco,2025,804370,tt14883538,
91,Arizona Dream,1993,Arizona Dream,resolved,Arizona Dream,1993,11044,tt0106307,
