input_title,input_year,tmdb_resolved,tmdb_id
28 Years Later: The Bone Temple,2026-01-14,yes,1272837
"Good Luck, Have Fun, Don't Die",2026-02-13,yes,1119449
Last edit: 05/13/,2026,no,
Mercy,2026-01-20,yes,1236153
Send Help,2026-01-22,yes,1198994
28 Years Later,2025-06-18,yes,1100988
A Working Man,2025-03-26,yes,1197306
Arco,2025-10-22,yes,804370
Ballerina,2025-06-04,yes,541671
Black Phone 2,2025-10-15,yes,1197137
Bring Her Back,2025-05-28,yes,1151031
Captain America: Brave New World,2025-02-12,yes,822119
Caught Stealing,2025-08-26,yes,1245993
Companion,2025-01-22,yes,1084199
Den of Thieves 2: Pantera,2025-01-08,yes,604685
Dog 51,2025-10-15,yes,1266798
Downton Abbey: The Grand Finale,2025-09-10,yes,1289936
Drop,2025-04-10,yes,1249213
Eddington,2025-07-16,yes,648878
Elio,2025-06-18,yes,1022787
Final Destination Bloodlines,2025-05-14,yes,574475
Five Nights at Freddy's 2,2025-12-03,yes,1228246
Good Boy,2025-10-01,yes,1422096
Good Fortune,2025-10-14,yes,1114967
HIM,2025-09-18,yes,986097
Hamnet,2025-11-26,yes,858024
Highest 2 Lowest,2025-08-14,yes,1242434
How to Train Your Dragon,2025-06-06,yes,1087192
Is This Thing On?,2025-12-19,yes,1140498
Jurassic World Rebirth,2025-07-01,yes,1234821
Kaamelott: The Second Chapter (Part I),2025-10-22,yes,1076897
LIST UPDATED: March 17th,2025,no,
Lilo & Stitch,2025-05-17,yes,552524
Love Hurts,2025-02-06,yes,1226406
M3GAN 2.0,2025-06-25,yes,1071585
Marty Supreme,2025-12-19,yes,1317288
Mickey 17,2025-02-28,yes,696506
Mission: Impossible - The Final Reckoning,2025-05-17,yes,575265
Nobody 2,2025-08-13,yes,1007734
Novocaine,2025-03-12,yes,1195506
Now You See Me: Now You Don't,2025-11-12,yes,425274
Nuremberg,2025-11-06,yes,1214931
Predator: Badlands,2025-11-05,yes,1242898
Refreshed: 2/24/,2025,no,
Roofman,2025-10-08,yes,1242419
Sinners,2025-04-16,yes,1233413
Snow White,2025-03-19,yes,447273
Springsteen: Deliver Me from Nowhere,2025-10-22,yes,1230368
Star Trek: Section 31,2025-01-15,yes,1114894
TRON: Ares,2025-10-08,yes,533533
The Amateur,2025-04-09,yes,1087891
The Bad Guys 2,2025-07-24,yes,1175942
The Fantastic 4: First Steps,2025-07-23,yes,617126
The Housemaid,2025-12-18,yes,1368166
The Long Walk,2025-09-10,yes,604079
The Naked Gun,2025-07-30,yes,1035259
The Phoenician Scheme,2025-05-23,yes,1137350
The Shrouds,2025-04-03,yes,970947
The Smashing Machine,2025-10-01,yes,760329
Thunderbolts*,2025-04-30,yes,986056
Warfare,2025-04-09,yes,1241436
Wicked: For Good,2025-11-19,yes,967941
Zootopia 2,2025-11-26,yes,1084242
11 Rebels,2024-11-01,yes,1310682
A Complete Unknown,2024-12-25,yes,661539
A Quiet Place: Day One,2024-06-26,yes,762441
Alien: Romulus,2024-08-13,yes,945961
Arthur the King,2024-02-22,yes,618588
Babygirl,2024-12-25,yes,1097549
Back to Black,2024-04-11,yes,998846
Beating Hearts,2024-10-16,yes,959604
Better Man,2024-12-06,yes,799766
Bob Marley: One Love,2024-02-14,yes,802219
Borderlands,2024-08-07,yes,365177
Civil War,2024-04-10,yes,929590
Deadpool & Wolverine,2024-07-24,yes,533535
Despicable Me 4,2024-06-20,yes,519182
Emilia Pérez,2024-08-21,yes,974950
Exhuma,2024-02-22,yes,838209
Ghostbusters: Frozen Empire,2024-03-20,yes,967847
Gladiator II,2024-11-13,yes,558449
Godzilla x Kong: The New Empire,2024-03-27,yes,823464
Heretic,2024-10-31,yes,1138194
IF,2024-05-08,yes,639720
Imaginary,2024-03-06,yes,1125311
Inside Out 2,2024-06-11,yes,1022789
Joker: Folie à Deux,2024-10-01,yes,889737
Kingdom of the Planet of the Apes,2024-05-08,yes,653346
Kraven the Hunter,2024-12-11,yes,539972
Kung Fu Panda 4,2024-03-02,yes,1011985
Love Lies Bleeding,2024-03-07,yes,948549
MaXXXine,2024-07-04,yes,1023922
Madame Web,2024-02-14,yes,634492
Moana 2,2024-11-21,yes,1241982
Mufasa: The Lion King,2024-12-18,yes,762509
Ng poon,2024,no,
Nosferatu,2024-12-25,yes,426063
Paddington in Peru,2024-11-08,yes,516729
Red One,2024-10-31,yes,845781
Smile 2,2024-10-16,yes,1100782
Sonic the Hedgehog 3,2024-12-19,yes,939243
Speak No Evil,2024-09-11,yes,1114513
Terrifier 3,2024-10-09,yes,1034541
The Beekeeper,2024-01-08,yes,866398
The Count of Monte Cristo,2024-06-28,yes,1084736
The Fall Guy,2024-04-24,yes,746036
The Killer's Game,2024-09-12,yes,507241
The Prosecutor,2024-12-08,yes,1128650
The Strangers: Chapter 1,2024-05-15,yes,1010600
The Substance,2024-09-07,yes,933260
The Wild Robot,2024-09-12,yes,1184918
Transformers One,2024-09-11,yes,698687
Twilight of the Warriors: Walled In,2024-05-01,yes,923667
Twisters,2024-07-10,yes,718821
We The Surfers,2024-08-29,yes,1430855
Wicked,2024-10-16,yes,402431
All of Us Strangers,2023-12-22,yes,994108
Ant-Man and the Wasp: Quantumania,2023-02-15,yes,640146
Asterix & Obelix: The Middle Kingdom,2023-02-01,yes,643215
Barbie,2023-07-19,yes,346698
Batman: The Doom That Came to Gotham,2023-03-10,yes,1003579
Beau Is Afraid,2023-04-14,yes,798286
Blue Beetle,2023-08-16,yes,565770
Cocaine Bear,2023-02-22,yes,804150
Coup de Chance,2023-09-15,yes,859235
Dungeons & Dragons: Honor Among Thieves,2023-03-23,yes,493529
Evil Dead Rise,2023-04-12,yes,713704
Expend4bles,2023-09-15,yes,299054
Fast X,2023-05-17,yes,385687
Ferrari,2023-12-14,yes,365620
God Is a Bullet,2023-06-22,yes,808396
Godzilla Minus One,2023-11-03,yes,940721
Guardians of the Galaxy Vol. 3,2023-05-03,yes,447365
Haunted Mansion,2023-07-26,yes,616747
John Wick: Chapter 4,2023-03-21,yes,603692
Justice League: Warworld,2023-07-25,yes,1003581
Killers of the Flower Moon,2023-10-18,yes,466420
Knock at the Cabin,2023-02-01,yes,631842
Legion of Super-Heroes,2023-02-07,yes,1003580
Longma jingshen,2023,no,
Migration,2023-12-06,yes,940551
Mission: Impossible - Dead Reckoning Part One,2023-07-08,yes,575264
Mr. Monk's Last Case: A Monk Movie,2023-12-08,yes,1100795
Operation Fortune: Ruse de Guerre,2023-01-04,yes,739405
Past Lives,2023-06-02,yes,666277
Perfect Days,2023-11-10,yes,976893
Plane,2023-01-11,yes,646389
Renfield,2023-04-07,yes,649609
Retribution,2023-08-23,yes,762430
Ride On,2023-04-07,yes,931102
Scream VI,2023-03-08,yes,934433
Shin Kamen Rider,2023-03-17,yes,813477
Showing Up,2023-04-07,yes,790416
Silent Night,2023-11-30,yes,891699
Spider-Man: Across the Spider-Verse,2023-05-31,yes,569094
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023-07-31,yes,614930
The Animal Kingdom,2023-10-04,yes,943134
The Boy and the Heron,2023-07-14,yes,508883
The Exorcist: Believer,2023-10-04,yes,807172
The Holdovers,2023-10-27,yes,840430
